0	0	0	0	0	0	0	0	13	10	15	17	26	20	9	11	108	68	51	74	81	40	39	82	98	90	101	62	59	58	53	81	0	0	0	0	0	0	0	0	16	17	16	17	35	39	21	15	108	79	37	62	108	72	44	75	108	81	48	49	52	54	74	108	0	0	0	0	0	0	0	0	15	14	17	19	26	23	17	18	84	35	25	34	61	45	73	108	99	36	30	30	32	13	43	90	0	0	0	0	0	0	0	0	9	6	7	9	11	10	9	13	25	38	36	11	10	11	30	53	50	19	27	12	24	6	11	17	100001
17	8	3	7	24	11	5	14	54	11	8	19	42	29	12	39	75	13	8	34	113	42	22	48	21	2	1	5	10	3	3	10	32	21	2	10	21	17	9	8	95	31	14	22	51	34	22	70	95	33	31	78	114	83	67	102	25	3	2	14	41	23	20	25	17	12	2	2	9	25	8	4	67	76	18	38	55	22	14	43	114	109	52	114	114	82	43	109	20	13	13	33	52	16	7	10	3	7	3	2	9	9	1	1	30	21	6	11	18	9	6	15	114	35	15	108	114	39	20	79	25	5	4	17	39	7	1	8	100002
41	16	17	54	28	8	24	77	51	24	31	45	41	21	27	47	50	36	39	23	28	46	36	31	20	32	51	12	14	25	29	22	35	22	32	87	41	7	20	68	66	35	73	109	63	18	30	109	74	60	87	30	30	30	35	47	14	31	43	44	43	42	30	13	14	10	48	109	19	9	51	109	78	22	22	109	57	24	18	109	68	19	24	28	43	41	39	80	38	31	34	47	53	45	54	48	28	14	46	52	21	13	33	35	109	22	21	24	37	12	11	64	32	8	7	10	16	17	20	24	16	10	11	18	20	21	26	27	100003
97	29	26	47	19	15	17	98	93	26	36	86	49	18	19	105	35	33	56	89	85	34	18	33	14	10	26	32	17	8	7	18	105	24	25	48	20	9	31	105	84	31	48	105	82	38	23	63	49	40	49	96	103	50	28	51	5	5	13	11	6	5	4	4	66	41	35	73	42	11	38	81	55	45	64	105	65	32	28	36	18	36	46	52	34	38	16	28	0	0	1	1	0	2	0	0	55	25	26	78	51	16	8	39	15	23	45	75	53	18	10	6	1	4	11	8	5	3	3	1	0	0	0	0	0	0	0	0	100004
74	54	25	17	33	21	5	10	77	85	35	24	29	33	22	38	29	37	34	25	49	57	42	34	6	9	16	14	21	25	28	6	66	35	9	9	35	17	4	10	113	113	10	15	36	28	13	58	63	33	24	37	70	87	45	41	10	9	27	25	38	30	28	10	41	14	4	8	39	32	41	34	113	87	22	29	38	35	33	44	113	113	34	49	93	72	30	45	12	16	15	25	92	52	36	30	23	24	65	22	12	21	35	32	59	50	41	14	24	44	57	60	76	95	27	28	54	53	17	18	21	55	32	29	37	25	15	15	100005
20	13	3	6	4	3	7	10	53	29	12	15	44	24	14	15	44	27	24	25	51	19	26	24	10	3	3	19	21	7	6	13	66	43	20	37	51	46	49	63	62	41	26	48	79	38	33	23	91	61	44	44	79	37	39	47	25	14	12	26	33	29	20	30	86	88	46	41	55	66	57	57	64	61	36	74	103	95	83	33	103	89	49	42	66	54	101	75	24	22	19	22	39	48	57	34	48	60	28	20	22	18	24	25	33	57	26	30	41	45	76	22	45	45	18	18	13	28	92	42	14	15	7	10	41	29	27	22	100006
34	66	12	8	32	59	34	18	47	87	20	16	52	83	18	11	47	75	34	22	56	74	25	17	26	40	32	36	46	32	22	38	41	93	18	24	65	74	17	15	43	61	50	57	54	51	21	40	52	57	37	75	53	56	31	80	18	9	31	105	18	8	34	105	34	84	31	42	57	62	25	23	41	35	31	81	42	32	33	105	29	7	25	105	8	19	28	92	7	4	17	64	7	5	14	28	12	20	24	69	22	12	25	105	6	3	20	96	6	2	15	78	4	3	12	44	5	3	8	16	4	3	10	25	5	2	10	19	100007
18	12	8	8	44	1	1	8	11	6	5	12	108	6	6	5	120	21	2	4	50	6	5	21	34	3	0	8	120	19	12	26	43	18	44	34	66	8	37	15	93	25	10	16	120	15	42	41	120	24	2	8	120	33	38	26	103	9	0	18	120	19	6	19	59	18	16	35	85	14	30	12	55	67	25	28	95	5	7	11	120	51	28	32	119	6	2	11	98	12	2	45	120	4	0	2	21	12	26	21	36	9	2	5	9	11	11	14	28	11	8	7	82	22	18	18	22	5	3	6	46	14	8	33	77	2	0	3	100008
22	11	3	5	21	26	26	14	19	7	4	5	21	27	19	14	5	6	4	2	4	11	10	5	4	7	13	3	4	5	13	4	82	24	17	34	80	106	58	51	114	18	18	59	114	76	61	96	39	5	3	52	91	55	38	28	1	3	4	2	2	2	1	1	86	33	36	82	86	55	56	43	114	43	24	107	114	46	27	60	44	18	13	86	106	33	10	11	1	1	1	2	1	2	2	2	79	45	24	27	102	43	11	25	63	37	31	76	98	44	18	28	38	25	6	36	49	46	30	12	2	1	1	1	2	2	1	2	100009
1	1	1	1	1	1	2	2	2	1	3	30	8	2	3	5	32	5	31	105	18	15	22	52	34	28	29	107	36	16	17	46	1	3	3	2	3	1	1	1	28	7	8	85	59	19	15	39	79	66	33	107	90	41	43	87	66	23	15	107	90	19	37	103	1	2	2	3	4	2	1	1	20	23	22	38	45	52	24	27	63	37	33	107	89	70	51	81	107	40	29	58	42	23	89	107	0	1	2	4	3	1	0	0	3	8	8	20	13	12	7	4	33	8	16	104	55	20	13	56	101	38	73	53	14	25	9	65	100010
